ID,Title,Description,Preconditions,Steps,Expected Result,Priority,Type,Tags,Trace To
TC-BE8B1F75,Scene Members: screen loads,Open screen.,Screen reachable,1. Navigate to the screen,Screen displays correctly.,P1,functional,ui,Devices
TC-A146658F,"Scene Members: input accepts valid — v Vv < Q 9:41 Press Back AVAILABLE MEMBERS [1A-331]-190B-XFAC! [1A-331]-190B-XFAC Search to | by DEVICES 0 start Scene name, assigning | 12 Members Longer ID or members MAC address to the uso €) scene Eait","Validate valid input for 'v Vv < Q 9:41 Press Back AVAILABLE MEMBERS [1A-331]-190B-XFAC! [1A-331]-190B-XFAC Search to | by DEVICES 0 start Scene name, assigning | 12 Members Longer ID or members MAC address to the uso €) scene Eait'.",Screen reachable,"1. Focus 'v Vv < Q 9:41 Press Back AVAILABLE MEMBERS [1A-331]-190B-XFAC! [1A-331]-190B-XFAC Search to | by DEVICES 0 start Scene name, assigning | 12 Members Longer ID or members MAC address to the uso €) scene Eait'
2. Enter valid value
3. Submit/blur",Value accepted; no error.,P1,functional,"input,positive",Devices
TC-49A676E1,"Scene Members: input rejects invalid — v Vv < Q 9:41 Press Back AVAILABLE MEMBERS [1A-331]-190B-XFAC! [1A-331]-190B-XFAC Search to | by DEVICES 0 start Scene name, assigning | 12 Members Longer ID or members MAC address to the uso €) scene Eait","Validate invalid input for 'v Vv < Q 9:41 Press Back AVAILABLE MEMBERS [1A-331]-190B-XFAC! [1A-331]-190B-XFAC Search to | by DEVICES 0 start Scene name, assigning | 12 Members Longer ID or members MAC address to the uso €) scene Eait'.",Screen reachable,"1. Focus 'v Vv < Q 9:41 Press Back AVAILABLE MEMBERS [1A-331]-190B-XFAC! [1A-331]-190B-XFAC Search to | by DEVICES 0 start Scene name, assigning | 12 Members Longer ID or members MAC address to the uso €) scene Eait'
2. Enter invalid value
3. Submit/blur",Clear error; state consistent; submit blocked if required.,P1,negative,"input,negative",Devices
TC-4B756873,"Scene Members: input boundary — v Vv < Q 9:41 Press Back AVAILABLE MEMBERS [1A-331]-190B-XFAC! [1A-331]-190B-XFAC Search to | by DEVICES 0 start Scene name, assigning | 12 Members Longer ID or members MAC address to the uso €) scene Eait",Min/Max length and special chars.,Screen reachable,"1. Try min-1, min, min+1 chars
2. Try max-1, max, max+1 chars
3. Try special characters",Accepted/rejected per rules; messages are clear.,P2,boundary,"input,boundary",Devices
TC-6742586A,Scene Members: input accepts valid — [1A-331]-190B-XFAC Longer name check,Validate valid input for '[1A-331]-190B-XFAC Longer name check'.,Screen reachable,"1. Focus '[1A-331]-190B-XFAC Longer name check'
2. Enter valid value
3. Submit/blur",Value accepted; no error.,P1,functional,"input,positive",Devices
TC-02C47270,Scene Members: input rejects invalid — [1A-331]-190B-XFAC Longer name check,Validate invalid input for '[1A-331]-190B-XFAC Longer name check'.,Screen reachable,"1. Focus '[1A-331]-190B-XFAC Longer name check'
2. Enter invalid value
3. Submit/blur",Clear error; state consistent; submit blocked if required.,P1,negative,"input,negative",Devices
TC-E3955D89,Scene Members: input boundary — [1A-331]-190B-XFAC Longer name check,Min/Max length and special chars.,Screen reachable,"1. Try min-1, min, min+1 chars
2. Try max-1, max, max+1 chars
3. Try special characters",Accepted/rejected per rules; messages are clear.,P2,boundary,"input,boundary",Devices
TC-1CA9E111,Scene Members: input accepts valid — [1A-331]-190B-XFAC Longer name,Validate valid input for '[1A-331]-190B-XFAC Longer name'.,Screen reachable,"1. Focus '[1A-331]-190B-XFAC Longer name'
2. Enter valid value
3. Submit/blur",Value accepted; no error.,P1,functional,"input,positive",Devices
TC-36857595,Scene Members: input rejects invalid — [1A-331]-190B-XFAC Longer name,Validate invalid input for '[1A-331]-190B-XFAC Longer name'.,Screen reachable,"1. Focus '[1A-331]-190B-XFAC Longer name'
2. Enter invalid value
3. Submit/blur",Clear error; state consistent; submit blocked if required.,P1,negative,"input,negative",Devices
TC-4076297C,Scene Members: input boundary — [1A-331]-190B-XFAC Longer name,Min/Max length and special chars.,Screen reachable,"1. Try min-1, min, min+1 chars
2. Try max-1, max, max+1 chars
3. Try special characters",Accepted/rejected per rules; messages are clear.,P2,boundary,"input,boundary",Devices
